"id","track_id","total_tracks","external_urls","album_type","available_markets","artist_id","images","release_date","name","release_date_precision"
"4sDAyYEMhD2YyREWKxj3aD","3bsycjdQtbcJeR6822SBvd","13.0","{'spotify': 'https://open.spotify.com/album/4sDAyYEMhD2YyREWKxj3aD'}","album","['AE', 'BH', 'CA', 'EG', 'JO', 'LB', 'OM', 'QA', 'SA', 'TN', 'US']","4kYSro6naA4h99UJvo89HB","[{'height': 640, 'url': 'https://i.scdn.co/image/1a49d337e43c8a858662b277dadc7c670d0b8812', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ef3c4bfda72029eb6a2d75a370a39378504bba4e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/0a264e114e264a77aa35350564439dfb4ae8af61', 'width': 64}]","2018-04-05","Invasion of Privacy","day"
"2vtXlIjsYPW5LiblMjIDBi","0Uub8OPsm8ojFRInBJxXyH","6.0","{'spotify': 'https://open.spotify.com/album/2vtXlIjsYPW5LiblMjIDBi'}","compilation","['AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DO', 'DZ', 'EC', 'EE', 'EG', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MT', 'MX', 'MY', 'NI', 'NL', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","0LyfQWJT6nXafLPZqxe9Of","[{'height': 640, 'url': 'https://i.scdn.co/image/add1a84f0dcadf54068bb4a1ce892cec1dbf7761', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/557c85682ea7e242ac7bffc800144096e4e725c8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/108c08e88b58096d403d6eb6abc8f0b04c3dd77d', 'width': 64}]","2014-05-02","Progressive House Minimix April 2014","day"
"46BSjIgwm2NarXXFM8fEjX","1tKAI8igKXPqovihv4Px57","10.0","{'spotify': 'https://open.spotify.com/album/46BSjIgwm2NarXXFM8fEjX'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']","1FcB6xMihhP9Hb6AdGVbWe","[{'height': 640, 'url': 'https://i.scdn.co/image/e59d27d995e45471504cb66528d9c2a910559436', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/1311076b9e14fd41b4feecf1d18dbca83b83feda', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/9539e419c27005301b94ac5a34756aaca5eb0929', 'width': 64}]","1968-01-01","The Israelites","day"
"0rdtx9JOcYikLL8zKRnvYd","4HM8clsA4Pt47K4ENgJlo3","25.0","{'spotify': 'https://open.spotify.com/album/0rdtx9JOcYikLL8zKRnvYd'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","6J6yx1t3nwIDyPXk5xa7O8","[{'height': 640, 'url': 'https://i.scdn.co/image/fac56d499ce4fa575ace418cf49dab79b1a8f639', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/3e7f57cf55bcbdc4a73707d254b8fe64d586a6c5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/8ac1540b92ed64ddf053eb559d0216df4a868dcc', 'width': 64}]","2015","15151 (En Directo)","year"
"3cULhf4xVD4KHDheoCTZWV","5VZm7niwhFF7EJRa4vD3zA","15.0","{'spotify': 'https://open.spotify.com/album/3cULhf4xVD4KHDheoCTZWV'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","6lly2jn9MqaxaWRrkEzOsJ","[{'height': 640, 'url': 'https://i.scdn.co/image/2a8aa33ba7294a99716b995bdc0203989fd4a826', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/fcc6b3bef77716a81e7d3ac91cc0af906c069788', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/69e65edc4f5453e7ee531e9dfc150e101136c8c6', 'width': 64}]","2018-01-26","Folge 119: Drei Herzen aus Eis. Teil 1 von 4","day"
"1l8TWUUEzfRIQVnHFBYskM","3hefnflOBYE10kN1bDhhHv","10.0","{'spotify': 'https://open.spotify.com/album/1l8TWUUEzfRIQVnHFBYskM'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","5wTAi7QkpP6kp8a54lmTOq","[{'height': 640, 'url': 'https://i.scdn.co/image/d67710d5808d9fa4706e39b6c7c3337d9583f868', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/611aea5bc70fec632ee9f56c15784f91d816412a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/8b55fc4c72a48bae0376b40605ce47e30143fa13', 'width': 64}]","2010-04-27","Brahms: Cello Sonatas","day"
"7u9gfJtWApTzi9Mi5BaECZ","6hTW1WQEFqylzC7crGMGAa","2.0","{'spotify': 'https://open.spotify.com/album/7u9gfJtWApTzi9Mi5BaECZ'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","72f733zGuCPEzCSLs9wOVi","[{'height': 640, 'url': 'https://i.scdn.co/image/0f984493c94906d5da374855cac6a9a7219ada62', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/f743aa6051715737e92e411dc1a2294a69e92e91', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/39686fed665b1087ca53e01762a748380a9d0dee', 'width': 64}]","2019-01-18","Senhas / Pelos Ares","day"
"3vm7lXWJ4HxzKEVZ6hhg8o","6Xo7NrY0dDj6pQQ2XIph1Y","16.0","{'spotify': 'https://open.spotify.com/album/3vm7lXWJ4HxzKEVZ6hhg8o'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']","1BTmMBPzv3zEO3f6ilFoct","[{'height': 640, 'url': 'https://i.scdn.co/image/142e68728860c36556de733dbedb9ed486e257d7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/4ce6fc32faa275f48fc0bc9cc141b209b6306171', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/cb521098daf6a1b746d5a880e706011d22b7a94b', 'width': 64}]","2001","Art de rue","year"
"3wOMqxNHgkga91RBC7BaZU","4cTm3Ev9bUvy4ChJjB1nhl","16.0","{'spotify': 'https://open.spotify.com/album/3wOMqxNHgkga91RBC7BaZU'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","5cj0lLjcoR7YOSnhnX0Po5","[{'height': 640, 'url': 'https://i.scdn.co/image/5ab911bb2cccdcfc00491ffbbae4661ed2a1eb51', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/0cb1dda284ad4f46c4686e31242bc1d90a9aa559', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/11b796d2f07b020f0612ba4e92946fd43b6af7e5', 'width': 64}]","2019-03-01","Amala (Deluxe Version)","day"
"1ydrBiSjaP0DGpBS9UR4SW","7uTHNZhundWTGrfQjnJ4Fg","16.0","{'spotify': 'https://open.spotify.com/album/1ydrBiSjaP0DGpBS9UR4SW'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","2424G4yH7tJBPlbAoiVmc3","[{'height': 640, 'url': 'https://i.scdn.co/image/f003983314eae7a59299669b0bd8870b26be17bf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/08d843f34531d678c7ccbcd31ceec6a08446c0f2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/476542183eb11b8ee38301b629b40a7af20a6d21', 'width': 64}]","2005","Vocabulearn ® Mandarin Chinese - English Level 2","year"
"3E9GhSA7VJBrv2qvGFuaN2","36uH1hTvdwypzFKCyMFRLT","1.0","{'spotify': 'https://open.spotify.com/album/3E9GhSA7VJBrv2qvGFuaN2'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","6FcVd3KlRxozcLl19FMXu9","[{'height': 640, 'url': 'https://i.scdn.co/image/aaba85f1098f0f783572784bb49de884eeee7ffb', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/c66d0d18bc2e455e990b7cd714202db973ba0b68', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/abc110247c7c01ac241c2f8b4e48ea809b2a3450', 'width': 64}]","2017-09-11","Duri da battere (feat. Nek & Francesco Renga)","day"
"30i1lvsc7c3gnTxvelclvn","1QQjQ1V1ic4EQjVlXRTmTV","5.0","{'spotify': 'https://open.spotify.com/album/30i1lvsc7c3gnTxvelclvn'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","70AkqfU43ou9hFxJZTDt7A","[{'height': 640, 'url': 'https://i.scdn.co/image/c57e6cedd6e763bc18eea41180186bad9928aeac', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ad32b2299bd22a80cfdceb6ab5c3e5ef25ff0e74', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/5968397914ff6ea08321232a329e0b5506fbcc7d', 'width': 64}]","2018-11-23","Spider Web","day"
"6UkIbROm8IV1ia64lbgOaO","3EwAG7SM8Ur7haI1HBbFYx","1.0","{'spotify': 'https://open.spotify.com/album/6UkIbROm8IV1ia64lbgOaO'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","0lcIRzEVZTKyNiEct4UKTo","[{'height': 640, 'url': 'https://i.scdn.co/image/9611bd3939e6e1353dcd2496a009f7c17a4f5eec', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/49536375ac3af712ae0861d0c0b17a93ccf04e1d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/a1664e33afec815ec3f713ce6eaaa2a6d9c54e4b', 'width': 64}]","2019-01-23","Head Games","day"
"47fNBPwLr4X9Kt1IU776iE","0hbwNBhwl1Qr7pY7i3oC69","1.0","{'spotify': 'https://open.spotify.com/album/47fNBPwLr4X9Kt1IU776iE'}","single","['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","7gkeGRk9xaQ0gGVi5kHN3S","[{'height': 640, 'url': 'https://i.scdn.co/image/07b08b7ffa7ef2bdb1d68dfde64963fa05b220ba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/513c45b9071334b158138427cc68305441050e7e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/fc88a212e0e1df41c1aac832b4a5f05079228939', 'width': 64}]","2017-09-11","Dragonfly","day"
"5dMNKaddEtUy2LEVR36H4q","7cSgNzK1xqz2H3MHWIFOCL","1.0","{'spotify': 'https://open.spotify.com/album/5dMNKaddEtUy2LEVR36H4q'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","0WZOmdnCln6FK6GM9e2tGm","[{'height': 640, 'url': 'https://i.scdn.co/image/ec7dc013cf15d2d4c4c1ac315091400400d85174', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ce9647aca92841c943bc12924661140b6007377e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/1061971bc7007f0b55736d346a2f674d194854f7', 'width': 64}]","2018-05-18","Esto Suena Bien","day"
"0tjg0zRE2TwgBNYzzoy63C","5CbMfe5djHkho609d6QUNW","26.0","{'spotify': 'https://open.spotify.com/album/0tjg0zRE2TwgBNYzzoy63C'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","4b3rKm8D3J3HWUggopMju9","[{'height': 640, 'url': 'https://i.scdn.co/image/04530487ad77b6a5f1be43c3e3af741148c4373d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab80b142197136ffc794302e5ca3275695bd6b2e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/04d01234a9dae5ab7730298f2e798ef53f15cf91', 'width': 64}]","2017-11-03","Reminisce","day"
"46jfdwHyJcw6mIkdHhPqLr","7xQWntOOfrQGM3HN3ti7aO","12.0","{'spotify': 'https://open.spotify.com/album/46jfdwHyJcw6mIkdHhPqLr'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","35q47VBXqYifKiU5VBjeYb","[{'height': 600, 'url': 'https://i.scdn.co/image/59f6e83e7dfcbb9f98991f848e1e93705899a5a4', 'width': 600}, {'height': 300, 'url': 'https://i.scdn.co/image/89e112a4581463e7b44d54cdb5b6c3a9847c37de', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/dda25b5a4d39d571205e025a028cc27bc88b8c68', 'width': 64}]","2017-03-16","Shortened Vol. 1","day"
"2Euy2pKXNm9UOzFhH37DiV","55bGrq7DsYOTQZpnhkiHv0","1.0","{'spotify': 'https://open.spotify.com/album/2Euy2pKXNm9UOzFhH37DiV'}","single","['AT', 'CH', 'DE']","1tBU8jUEdVR3mqSsAqEGfD","[{'height': 600, 'url': 'https://i.scdn.co/image/4533ef31683652b5f870a47fbe2721725390119e', 'width': 600}, {'height': 300, 'url': 'https://i.scdn.co/image/58ffd219dd226d05be977aad9c4cde101f67d313', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/47baab7f8dd4071ba31503c92d3ed5e6f6dc5ee1', 'width': 64}]","2017-05-12","Dreamer","day"
"7HKEDHznm7Zngpw3oHkorA","7ozWDT47HkfCmbNGgMorU8","16.0","{'spotify': 'https://open.spotify.com/album/7HKEDHznm7Zngpw3oHkorA'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","1dPl8axUL09mso0myZqPZW","[{'height': 640, 'url': 'https://i.scdn.co/image/c8fcb6b94a546ea47c4fb92a8031921ae248b64b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/8b08b1560e9ba8c242e59f6b2ffef888f7032b2e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/56a15c656bf4ac6691498875305a23325ecbf58a', 'width': 64}]","2017-09-29","Echoes (Deluxe Edition)","day"
"5bjQaAUBEJdAfGfGBRRFXH","3ZAiwXtsEXDn0Ye8WAPHxz","4.0","{'spotify': 'https://open.spotify.com/album/5bjQaAUBEJdAfGfGBRRFXH'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","3YSLjtLPCULe41kgElVrWj","[{'height': 640, 'url': 'https://i.scdn.co/image/6ff44c38206dfbb200654d9b5b1280f68c436ad7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/eeba27f10ff997d51a2bf9d81f4153fde1596ac7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/e28ba0ad2ecdc9c2222e2344480af07ad10d05e7', 'width': 64}]","2018-09-28","Chrysalis","day"
